MOVIMIENTO_ID,EMPRESA_ID,FECHA,CONTRATO_ID,CENTRO_CONTABLE,CUENTA_ID,DIVISA,IMPORTE,LINEA_CUENTA_RESULTADOS,CONCEPTO_GESTION
1,1,2025-09-01,1062,5,760001,EUR,2906.64,CR0001,Intereses cobrados préstamo hipotecario
2,1,2025-09-01,2023,2,760012,EUR,176.46,CR0008,Comisión cancelación anticipada depósito
3,1,2025-09-01,3001,1,760022,EUR,1429.32,CR0008,Comisión suscripción fondos
4,1,2025-09-01,3001,1,760024,EUR,214.4,CR001104,Reparto internegocio banco 15%
5,1,2025-09-01,3001,1,760025,EUR,1214.92,CR001104,Reparto internegocio fábrica 85%
6,1,2025-09-01,2003,1,640001,EUR,-1268.05,CR0003,Intereses pagados depósito plazo fijo
7,1,2025-09-01,3025,2,760023,EUR,433.97,CR0008,Comisión reembolso fondos
8,1,2025-09-01,3025,2,760024,EUR,65.1,CR001104,Reparto internegocio banco 15%
9,1,2025-09-01,3025,2,760025,EUR,368.88,CR001104,Reparto internegocio fábrica 85%
10,1,2025-09-01,2014,1,640001,EUR,-1704.39,CR0003,Intereses pagados depósito plazo fijo
11,1,2025-09-01,3037,3,760024,EUR,248.28,CR001104,Reparto internegocio banco 15%
12,1,2025-09-01,1032,2,760002,EUR,594.05,CR0008,Comisión apertura préstamo
13,1,2025-09-01,3017,2,760022,EUR,1056.27,CR0008,Comisión suscripción fondos
14,1,2025-09-01,3017,2,760024,EUR,158.44,CR001104,Reparto internegocio banco 15%
15,1,2025-09-01,3017,2,760025,EUR,897.83,CR001104,Reparto internegocio fábrica 85%
16,1,2025-09-01,3059,5,760021,EUR,844.82,CR0008,Comisión gestión fondos
17,1,2025-09-01,3059,5,760024,EUR,126.72,CR001104,Reparto internegocio banco 15%
18,1,2025-09-01,3059,5,760025,EUR,718.1,CR001104,Reparto internegocio fábrica 85%
19,1,2025-09-01,3053,5,760025,EUR,1289.18,CR001104,Reparto internegocio fábrica 85%
20,1,2025-09-01,3039,3,760021,EUR,1129.65,CR0008,Comisión gestión fondos
21,1,2025-09-01,3039,3,760024,EUR,169.45,CR001104,Reparto internegocio banco 15%
22,1,2025-09-01,3039,3,760025,EUR,960.2,CR001104,Reparto internegocio fábrica 85%
23,1,2025-09-01,2010,1,691001,EUR,-16.04,CR001302,Impuesto depósitos
24,1,2025-09-01,1040,3,760001,EUR,2076.95,CR0001,Intereses cobrados préstamo hipotecario
25,1,2025-09-01,2057,5,691001,EUR,-22.76,CR001302,Impuesto depósitos
26,1,2025-09-01,2015,1,691001,EUR,-32.49,CR001302,Impuesto depósitos
27,1,2025-09-01,1001,1,760002,EUR,308.38,CR0008,Comisión apertura préstamo
28,1,2025-09-01,2048,4,760012,EUR,74.59,CR0008,Comisión cancelación anticipada depósito
29,1,2025-09-01,3014,1,760026,EUR,148.13,CR0008,Comisión distribución fondos
30,1,2025-09-01,2001,1,691002,EUR,-11.93,CR001301,Fondo garantía depósitos
31,1,2025-09-01,1005,1,760003,EUR,333.09,CR0008,Comisión cancelación préstamo
32,1,2025-09-01,3010,1,760026,EUR,200.93,CR0008,Comisión distribución fondos
33,1,2025-09-01,3050,4,760025,EUR,610.67,CR001104,Reparto internegocio fábrica 85%
34,1,2025-09-01,1043,3,760004,EUR,401.8,CR0008,Comisión estudio préstamo
35,1,2025-09-01,2011,1,760011,EUR,160.69,CR0008,Comisión gestión depósito
36,1,2025-09-01,2007,1,691001,EUR,-48.06,CR001302,Impuesto depósitos
37,1,2025-09-01,2060,5,640001,EUR,-2363.79,CR0003,Intereses pagados depósito plazo fijo
38,1,2025-09-01,3042,3,760022,EUR,1100.48,CR0008,Comisión suscripción fondos
39,1,2025-09-01,3042,3,760024,EUR,165.07,CR001104,Reparto internegocio banco 15%
40,1,2025-09-01,3042,3,760025,EUR,935.41,CR001104,Reparto internegocio fábrica 85%
41,1,2025-09-01,1034,2,760002,EUR,425.26,CR0008,Comisión apertura préstamo
42,1,2025-09-01,2024,2,691001,EUR,-40.78,CR001302,Impuesto depósitos
43,1,2025-09-01,2029,2,691001,EUR,-42.08,CR001302,Impuesto depósitos
44,1,2025-09-01,1048,4,760004,EUR,398.44,CR0008,Comisión estudio préstamo
45,1,2025-09-01,3029,2,760021,EUR,699.52,CR0008,Comisión gestión fondos
46,1,2025-09-01,3029,2,760024,EUR,104.93,CR001104,Reparto internegocio banco 15%
